start_station_name,start_station_id,start_lat,start_lng,end_station_name,end_station_id,end_lat,end_lng,trip_count
Hilltop,JC019,40.7311689,-74.0575736,9 St HBLR - Jackson St & 8 St,HB305,40.74790720968899,-74.03841152787209,1
4 St & River St,HB611,40.7408139,-74.0274062,5 Corners Library,JC018,40.73496102000952,-74.0595030784607,1
South Waterfront Walkway - Sinatra Dr & 1 St,HB103,40.73698221818716,-74.02778059244156,Madison St & 10 St,HB503,40.74994325412246,-74.03586477041245,1
Hilltop,JC019,40.7311689,-74.0575736,Columbus Park - Clinton St & 9 St,HB501,40.74816121065146,-74.0324530005455,1
Hilltop,JC019,40.7311689,-74.0575736,Church Sq Park - 5 St & Park Ave,HB601,40.74265933273143,-74.03223305940628,1
Bergen Ave,JC095,40.722103786686034,-74.07145500183105,West St & Chambers St,5329.03,40.71754834,-74.01322069,1
Bergen Ave,JC095,40.722103786686034,-74.07145500183105,W 44 St & 5 Ave,6551.02,40.75500254,-73.98014437,1
9 St HBLR - Jackson St & 8 St,HB305,40.74790720968899,-74.03841152787209,Liberty Light Rail,JC052,40.7112423,-74.0557013,1
9 St HBLR - Jackson St & 8 St,HB305,40.74790720968899,-74.03841152787209,Jersey & 6th St,JC027,40.72528910781132,-74.04557168483734,1
Manila & 1st,JC082,40.72165072487999,-74.04288411140442,7 St & Monroe St,HB304,40.74641264837719,-74.03797701001167,1
Manila & 1st,JC082,40.72165072487999,-74.04288411140442,11 St & Washington St,HB502,40.74998490907138,-74.02715027332306,1
Mama Johnson Field - 4 St & Jackson St,HB404,40.74313993965626,-74.04004096984863,Paulus Hook,JC002,40.7141454,-74.0335519,1
Mama Johnson Field - 4 St & Jackson St,HB404,40.74313993965626,-74.04004096984863,Oakland Ave,JC022,40.7376037,-74.0524783,1
Manila & 1st,JC082,40.72165072487999,-74.04288411140442,Dey St,JC065,40.737711,-74.066921,1
Heights Elevator,JC059,40.74871594538023,-74.04044330120087,Madison St & 10 St,HB503,40.74994325412246,-74.03586477041245,1
Heights Elevator,JC059,40.74871594538023,-74.04044330120087,Lafayette Park,JC078,40.71346382669195,-74.06285852193832,1
South Waterfront Walkway - Sinatra Dr & 1 St,HB103,40.73698221818716,-74.02778059244156,W 180 St & Fort Washington Ave,8358.03,40.849972,-73.938423,1
4 St & River St,HB611,40.7408139,-74.0274062,Bergen Ave & Sip Ave,JC109,40.73100888698729,-74.06443700194359,1
Hilltop,JC019,40.7311689,-74.0575736,6 St & Grand St,HB302,40.7443978330956,-74.03450086712837,1
Heights Elevator,JC059,40.74871594538023,-74.04044330120087,Van Vorst Park,JC035,40.71848892,-74.047726625,1
Heights Elevator,JC059,40.74871594538023,-74.04044330120087,Union St,JC051,40.7182113,-74.0836394,1
Newark Ave,JC032,40.72152515,-74.046304543,South Waterfront Walkway - Sinatra Dr & 1 St,HB103,40.73698221818716,-74.02778059244156,1
Bergen Ave,JC095,40.722103786686034,-74.07145500183105,Oakland Ave,JC022,40.7376037,-74.0524783,1
Bergen Ave,JC095,40.722103786686034,-74.07145500183105,Essex Light Rail,JC038,40.7127742,-74.0364857,1
Manila & 1st,JC082,40.72165072487999,-74.04288411140442,Stevens - River Ter & 6 St,HB602,40.74313282710551,-74.02698867022991,1
Heights Elevator,JC059,40.74871594538023,-74.04044330120087,6 St & Grand St,HB302,40.7443978330956,-74.03450086712837,1
Heights Elevator,JC059,40.74871594538023,-74.04044330120087,6 Ave & Walker St,5430.10,40.7197920901383,-74.0052238852195,1
4 St & Grand St,HB301,40.7422579775645,-74.03511106967926,Warren St,JC006,40.7211236,-74.03805095,1
4 St & Grand St,HB301,40.7422579775645,-74.03511106967926,Vesey St & Greenwich St,5216.07,40.71254669463547,-74.01113051087516,1
Heights Elevator,JC059,40.74871594538023,-74.04044330120087,Grand St,JC102,40.71517767732029,-74.03768330812454,1
Heights Elevator,JC059,40.74871594538023,-74.04044330120087,Dixon Mills,JC076,40.721630142638354,-74.04996782541275,1
Heights Elevator,JC059,40.74871594538023,-74.04044330120087,City Hall,JC003,40.7177325,-74.043845,1
Heights Elevator,JC059,40.74871594538023,-74.04044330120087,Marshall St & 2 St,HB408,40.740802,-74.042521,1
Heights Elevator,JC059,40.74871594538023,-74.04044330120087,Marin Light Rail,JC013,40.71458403535893,-74.04281705617905,1
Mama Johnson Field - 4 St & Jackson St,HB404,40.74313993965626,-74.04004096984863,Jersey & 6th St,JC027,40.72528910781132,-74.04557168483734,1
Bergen Ave & Sip Ave,JC109,40.73100888698729,-74.06443700194359,Adams St & 2 St,HB407,40.73981372311843,-74.03690412640572,1
Bergen Ave & Sip Ave,JC109,40.73100888698729,-74.06443700194359,4 St & River St,HB611,40.7408139,-74.0274062,1
4 St & Grand St,HB301,40.7422579775645,-74.03511106967926,Paulus Hook,JC002,40.7141454,-74.0335519,1
4 St & Grand St,HB301,40.7422579775645,-74.03511106967926,Montgomery St,JC099,40.71942,-74.05099,1
4 St & Grand St,HB301,40.7422579775645,-74.03511106967926,Monmouth and 6th,JC075,40.72568548362901,-74.04879033565521,1
City Hall,JC003,40.7177325,-74.043845,Heights Elevator,JC059,40.74871594538023,-74.04044330120087,1
Harborside,JC104,40.7192517,-74.034234,Greenwich Ave & 8 Ave,6072.06,40.7390169121,-74.0026376103,1
4 St & Grand St,HB301,40.7422579775645,-74.03511106967926,Lafayette Park,JC078,40.71346382669195,-74.06285852193832,1
Southwest Park - Jackson St & Observer Hwy,HB401,40.73755127245804,-74.04166370630264,Heights Elevator,JC059,40.74871594538023,-74.04044330120087,1
Southwest Park - Jackson St & Observer Hwy,HB401,40.73755127245804,-74.04166370630264,Dey St,JC065,40.737711,-74.066921,1
Harborside,JC104,40.7192517,-74.034234,West St & Liberty St,5184.08,40.711444,-74.014847,1
Harborside,JC104,40.7192517,-74.034234,W 20 St & 10 Ave,6306.01,40.745686,-74.005141,1
Harborside,JC104,40.7192517,-74.034234,Vesey St & Greenwich St,5216.07,40.71254669463547,-74.01113051087516,1
City Hall,JC003,40.7177325,-74.043845,Bloomfield St & 15 St,HB203,40.75453,-74.02658,1
Heights Elevator,JC059,40.74871594538023,-74.04044330120087,Baldwin at Montgomery,JC020,40.7236589,-74.0641943,1
Manila & 1st,JC082,40.72165072487999,-74.04288411140442,Columbus Park - Clinton St & 9 St,HB501,40.74816121065146,-74.0324530005455,1
Manila & 1st,JC082,40.72165072487999,-74.04288411140442,Bergen Ave & Stegman St,JC108,40.70657545063453,-74.0867006778717,1
Manila & 1st,JC082,40.72165072487999,-74.04288411140442,Astor Place,JC077,40.71928220070702,-74.07126188278198,1
Harborside,JC104,40.7192517,-74.034234,Central Park S & Grand Army Plaza,6839.15,40.764555,-73.973473,1
Manila & 1st,JC082,40.72165072487999,-74.04288411140442,South Waterfront Walkway - Sinatra Dr & 1 St,HB103,40.73698221818716,-74.02778059244156,1
9 St HBLR - Jackson St & 8 St,HB305,40.74790720968899,-74.03841152787209,Monmouth and 6th,JC075,40.72568548362901,-74.04879033565521,1
9 St HBLR - Jackson St & 8 St,HB305,40.74790720968899,-74.03841152787209,Monmouth & 6th,JC075,40.72568548362901,-74.04879033565521,1
Newark Ave,JC032,40.72152515,-74.046304543,Park Pl & Church St,5288.08,40.71334184275907,-74.00935515761375,1
Adams St & 12 St,HB610,40.751889392240685,-74.03329162748534,9 Ave & W 33 St,6492.08,40.752568,-73.996765,1
Adams St & 12 St,HB610,40.751889392240685,-74.03329162748534,12 Ave & W 40 St,6765.01,40.76087502,-74.00277668,1
Marin Light Rail,JC013,40.71458403535893,-74.04281705617905,14 St Ferry - 14 St & Shipyard Ln,HB202,40.75296063046496,-74.02435272932053,1
Marin Light Rail,JC013,40.71458403535893,-74.04281705617905,11 St & Washington St,HB502,40.74998490907138,-74.02715027332306,1
Manila & 1st,JC082,40.72165072487999,-74.04288411140442,Vesey Pl & River Terrace,5297.02,40.7153379,-74.01658354,1
Bergen Ave,JC095,40.722103786686034,-74.07145500183105,Harborside,JC104,40.7192517,-74.034234,1
Harborside,JC104,40.7192517,-74.034234,Astor Place,JC077,40.71928220070702,-74.07126188278198,1
Southwest Park - Jackson St & Observer Hwy,HB401,40.73755127245804,-74.04166370630264,Marin Light Rail,JC013,40.71458403535893,-74.04281705617905,1
Southwest Park - Jackson St & Observer Hwy,HB401,40.73755127245804,-74.04166370630264,Mama Johnson Field - 4 St & Jackson St,HB404,40.74313993965626,-74.04004096984863,1
Southwest Park - Jackson St & Observer Hwy,HB401,40.73755127245804,-74.04166370630264,Lincoln Park,JC053,40.7246050998869,-74.07840594649315,1
Southwest Park - Jackson St & Observer Hwy,HB401,40.73755127245804,-74.04166370630264,Lafayette Park,JC078,40.71346382669195,-74.06285852193832,1
4 St & Grand St,HB301,40.7422579775645,-74.03511106967926,Bergen Ave & Sip Ave,JC109,40.73100888698729,-74.06443700194359,1
City Hall - Washington St & 1 St,HB105,40.73736,-74.03097,Driggs Ave & Lorimer St,5481.04,40.72179134,-73.9504154,1
City Hall - Washington St & 1 St,HB105,40.73736,-74.03097,Monmouth and 6th,JC075,40.72568548362901,-74.04879033565521,1
City Hall - Washington St & 1 St,HB105,40.73736,-74.03097,Bergen Ave,JC095,40.722103786686034,-74.07145500183105,1
City Hall - Washington St & 1 St,HB105,40.73736,-74.03097,Dixon Mills,JC076,40.721630142638354,-74.04996782541275,1
City Hall - Washington St & 1 St,HB105,40.73736,-74.03097,Bergen Ave & Stegman St,JC108,40.70657545063453,-74.0867006778717,1
Hamilton Park,JC009,40.727595966,-74.044247311,Monroe St & 11 St,HB508,40.7501091128573,-74.036636745998,1
City Hall,JC003,40.7177325,-74.043845,Riverview Park,JC057,40.7443187,-74.0439909,1
City Hall,JC003,40.7177325,-74.043845,Pier 61 at Chelsea Piers,6233.04,40.746872,-74.00821,1
Southwest Park - Jackson St & Observer Hwy,HB401,40.73755127245804,-74.04166370630264,Morris Canal,JC072,40.7124188237569,-74.03852552175522,1
4 St & Grand St,HB301,40.7422579775645,-74.03511106967926,Grand St,JC102,40.71517767732029,-74.03768330812454,1
4 St & Grand St,HB301,40.7422579775645,-74.03511106967926,Essex Light Rail,JC038,40.7127742,-74.0364857,1
4 St & Grand St,HB301,40.7422579775645,-74.03511106967926,Dey St,JC065,40.737711,-74.066921,1
4 St & Grand St,HB301,40.7422579775645,-74.03511106967926,Columbus Drive,JC014,40.71835519823214,-74.03891444206238,1
Harborside,JC104,40.7192517,-74.034234,5 Corners Library,JC018,40.73496102000952,-74.0595030784607,1
Hamilton Park,JC009,40.727595966,-74.044247311,Stevens - River Ter & 6 St,HB602,40.74313282710551,-74.02698867022991,1
Grove St PATH,JC115,40.71941,-74.04309,Vesey Pl & River Terrace,5297.02,40.7153379,-74.01658354,1
Marin Light Rail,JC013,40.71458403535893,-74.04281705617905,Church Sq Park - 5 St & Park Ave,HB601,40.74265933273143,-74.03223305940628,1
Marin Light Rail,JC013,40.71458403535893,-74.04281705617905,Broad St & Bridge St,4962.08,40.70365182,-74.01167797,1
Marin Light Rail,JC013,40.71458403535893,-74.04281705617905,Astor Place,JC077,40.71928220070702,-74.07126188278198,1
Marin Light Rail,JC013,40.71458403535893,-74.04281705617905,9 St HBLR - Jackson St & 8 St,HB305,40.74790720968899,-74.03841152787209,1
Marin Light Rail,JC013,40.71458403535893,-74.04281705617905,9 Ave & W 33 St,6492.08,40.752568,-73.996765,1
Marin Light Rail,JC013,40.71458403535893,-74.04281705617905,6 St & Grand St,HB302,40.7443978330956,-74.03450086712837,1
Newark Ave,JC032,40.72152515,-74.046304543,Madison St & 10 St,HB503,40.74994325412246,-74.03586477041245,1
Adams St & 12 St,HB610,40.751889392240685,-74.03329162748534,Columbus Drive,JC014,40.71835519823214,-74.03891444206238,1
Marin Light Rail,JC013,40.71458403535893,-74.04281705617905,Fairmount Ave,JC093,40.72572613742557,-74.07195925712585,1
Marin Light Rail,JC013,40.71458403535893,-74.04281705617905,E Houston St & Columbia St,5436.11,40.71978635452822,-73.97871628403664,1
Marin Light Rail,JC013,40.71458403535893,-74.04281705617905,Columbus Park - Clinton St & 9 St,HB501,40.74816121065146,-74.0324530005455,1
Bergen Ave,JC095,40.722103786686034,-74.07145500183105,Christ Hospital,JC034,40.734785818,-74.050443636,1
Grove St PATH,JC115,40.71941,-74.04309,River St & 1 St,HB609,40.73721535335381,-74.02886540972803,1
Hamilton Park,JC009,40.727595966,-74.044247311,Adams St & 12 St,HB610,40.751889392240685,-74.03329162748534,1
Stevens - River Ter & 6 St,HB602,40.74313282710551,-74.02698867022991,Astor Place,JC077,40.71928220070702,-74.07126188278198,1
Adams St & 12 St,HB610,40.751889392240685,-74.03329162748534,City Hall,JC003,40.7177325,-74.043845,1
Adams St & 12 St,HB610,40.751889392240685,-74.03329162748534,Baldwin at Montgomery,JC020,40.7236589,-74.0641943,1
Newark Ave,JC032,40.72152515,-74.046304543,Clinton St & 7 St,HB303,40.74542,-74.03332,1
Marin Light Rail,JC013,40.71458403535893,-74.04281705617905,Market St & Cherry St,5198.04,40.71076228,-73.99400398,1
Marin Light Rail,JC013,40.71458403535893,-74.04281705617905,Lincoln Park,JC053,40.7246050998869,-74.07840594649315,1
Marin Light Rail,JC013,40.71458403535893,-74.04281705617905,Leonard Gordon Park,JC080,40.74590996631558,-74.0572714805603,1
Clinton St & 7 St,HB303,40.74542,-74.03332,Essex Light Rail,JC038,40.7127742,-74.0364857,1
Clinton St & 7 St,HB303,40.74542,-74.03332,Christ Hospital,JC034,40.734785818,-74.050443636,1
Grove St PATH,JC115,40.71941,-74.04309,E 56 St & 3 Ave,6691.11,40.75934501,-73.96759673,1
2 St & Park Ave,HB608,40.73915272763701,-74.0330819785595,Jersey & 3rd,JC074,40.72333158646436,-74.04595255851744,1
Stevens - River Ter & 6 St,HB602,40.74313282710551,-74.02698867022991,Essex Light Rail,JC038,40.7127742,-74.0364857,1
Stevens - River Ter & 6 St,HB602,40.74313282710551,-74.02698867022991,Christ Hospital,JC034,40.734785818,-74.050443636,1
2 St & Park Ave,HB608,40.73915272763701,-74.0330819785595,Warren St,JC006,40.7211236,-74.03805095,1
Grove St PATH,JC115,40.71941,-74.04309,Monroe St & 11 St,HB508,40.7501091128573,-74.036636745998,1
Grove St PATH,JC115,40.71941,-74.04309,Marshall St & 2 St,HB408,40.740802,-74.042521,1
Grove St PATH,JC115,40.71941,-74.04309,Heights Elevator,JC059,40.74871594538023,-74.04044330120087,1
Adams St & 12 St,HB610,40.751889392240685,-74.03329162748534,Manila & 1st,JC082,40.72165072487999,-74.04288411140442,1
Adams St & 12 St,HB610,40.751889392240685,-74.03329162748534,Lafayette Park,JC078,40.71346382669195,-74.06285852193832,1
Marin Light Rail,JC013,40.71458403535893,-74.04281705617905,Willow Ave & 12 St,HB505,40.7518674823282,-74.03037697076797,1
Marin Light Rail,JC013,40.71458403535893,-74.04281705617905,West St & Liberty St,5184.08,40.711444,-74.014847,1
Clinton St & 7 St,HB303,40.74542,-74.03332,Monmouth & 6th,JC075,40.72568548362901,-74.04879033565521,1
Clinton St & 7 St,HB303,40.74542,-74.03332,McGinley Square,JC055,40.7253399253558,-74.06762212514877,1
Clinton St & 7 St,HB303,40.74542,-74.03332,Marin Light Rail,JC013,40.71458403535893,-74.04281705617905,1
Clinton St & 7 St,HB303,40.74542,-74.03332,Jersey & 6th St,JC027,40.72528910781132,-74.04557168483734,1
Stevens - River Ter & 6 St,HB602,40.74313282710551,-74.02698867022991,Journal Square,JC103,40.73367,-74.0625,1
Stevens - River Ter & 6 St,HB602,40.74313282710551,-74.02698867022991,Hilltop,JC019,40.7311689,-74.0575736,1
2 St & Park Ave,HB608,40.73915272763701,-74.0330819785595,McGinley Square,JC055,40.7253399253558,-74.06762212514877,1
2 St & Park Ave,HB608,40.73915272763701,-74.0330819785595,Manila & 1st,JC082,40.72165072487999,-74.04288411140442,1
2 St & Park Ave,HB608,40.73915272763701,-74.0330819785595,Leonard Gordon Park,JC080,40.74590996631558,-74.0572714805603,1
Grove St PATH,JC115,40.71941,-74.04309,Grand St & 14 St,HB506,40.75409,-74.0316,1
Bergen Ave,JC095,40.722103786686034,-74.07145500183105,8 St & Washington St,HB603,40.74598388291562,-74.02819901704788,1
Baldwin at Montgomery,JC020,40.7236589,-74.0641943,Willow Ave & 12 St,HB505,40.7518674823282,-74.03037697076797,1
Grant Ave & MLK Dr,JC107,40.70919832245443,-74.08084273338318,Monmouth and 6th,JC075,40.72568548362901,-74.04879033565521,1
Grant Ave & MLK Dr,JC107,40.70919832245443,-74.08084273338318,Lincoln Park,JC053,40.7246050998869,-74.07840594649315,1
Grant Ave & MLK Dr,JC107,40.70919832245443,-74.08084273338318,Journal Square,JC103,40.73367,-74.0625,1
Stevens - River Ter & 6 St,HB602,40.74313282710551,-74.02698867022991,Newark Ave,JC032,40.72152515,-74.046304543,1
Stevens - River Ter & 6 St,HB602,40.74313282710551,-74.02698867022991,Montgomery St,JC099,40.71942,-74.05099,1
Stevens - River Ter & 6 St,HB602,40.74313282710551,-74.02698867022991,Liberty Light Rail,JC052,40.7112423,-74.0557013,1
Grove St PATH,JC115,40.71941,-74.04309,9 St HBLR - Jackson St & 8 St,HB305,40.74790720968899,-74.03841152787209,1
Grove St PATH,JC115,40.71941,-74.04309,6 St & Grand St,HB302,40.7443978330956,-74.03450086712837,1
Grove St PATH,JC115,40.71941,-74.04309,14 St Ferry - 14 St & Shipyard Ln,HB202,40.75296063046496,-74.02435272932053,1
Clinton St & 7 St,HB303,40.74542,-74.03332,Union St,JC051,40.7182113,-74.0836394,1
Baldwin at Montgomery,JC020,40.7236589,-74.0641943,Monroe St & 11 St,HB508,40.7501091128573,-74.036636745998,1
Marin Light Rail,JC013,40.71458403535893,-74.04281705617905,Orchard St & Grand St,5343.11,40.717318403855785,-73.99067759513855,1
Marin Light Rail,JC013,40.71458403535893,-74.04281705617905,Murray St & West St,5329.08,40.71503,-74.01246,1
Newark Ave,JC032,40.72152515,-74.046304543,Bloomfield St & 15 St,HB203,40.75453,-74.02658,1
Newark Ave,JC032,40.72152515,-74.046304543,Bergen Ave & Stegman St,JC108,40.70657545063453,-74.0867006778717,1
Newark Ave,JC032,40.72152515,-74.046304543,Adams St & 12 St,HB610,40.751889392240685,-74.03329162748534,1
Grand St & 14 St,HB506,40.75409,-74.0316,Monmouth and 6th,JC075,40.72568548362901,-74.04879033565521,1
Clinton St & Newark St,HB409,40.73743,-74.03571,Bergen Ave,JC095,40.722103786686034,-74.07145500183105,1
Clinton St & Newark St,HB409,40.73743,-74.03571,Baldwin at Montgomery,JC020,40.7236589,-74.0641943,1
Union St,JC051,40.7182113,-74.0836394,Harborside,JC104,40.7192517,-74.034234,1
Union St,JC051,40.7182113,-74.0836394,Grand St,JC102,40.71517767732029,-74.03768330812454,1
Union St,JC051,40.7182113,-74.0836394,Columbus Drive,JC014,40.71835519823214,-74.03891444206238,1
Union St,JC051,40.7182113,-74.0836394,Clinton St & Newark St,HB409,40.73743,-74.03571,1
Grant Ave & MLK Dr,JC107,40.70919832245443,-74.08084273338318,Hilltop,JC019,40.7311689,-74.0575736,1
Grant Ave & MLK Dr,JC107,40.70919832245443,-74.08084273338318,Exchange Pl,JC116,40.71636596185077,-74.034343957901,1
Grant Ave & MLK Dr,JC107,40.70919832245443,-74.08084273338318,Bergen Ave & Stegman St,JC108,40.70657545063453,-74.0867006778717,1
Grand St & 14 St,HB506,40.75409,-74.0316,York St & Marin Blvd,JC097,40.716615000830494,-74.0424120426178,1
2 St & Park Ave,HB608,40.73915272763701,-74.0330819785595,Essex Light Rail,JC038,40.7127742,-74.0364857,1
Union St,JC051,40.7182113,-74.0836394,Baldwin at Montgomery,JC020,40.7236589,-74.0641943,1
Union St,JC051,40.7182113,-74.0836394,8 St & Washington St,HB603,40.74598388291562,-74.02819901704788,1
Stevens - River Ter & 6 St,HB602,40.74313282710551,-74.02698867022991,Vesey Pl & River Terrace,5297.02,40.7153379,-74.01658354,1
Clinton St & 7 St,HB303,40.74542,-74.03332,Morris Canal,JC072,40.7124188237569,-74.03852552175522,1
Grand St & 14 St,HB506,40.75409,-74.0316,Jackson Square,JC063,40.71113,-74.0789,1
Marin Light Rail,JC013,40.71458403535893,-74.04281705617905,Watts St & Greenwich St,5578.02,40.72405549,-74.00965965,1
Marin Light Rail,JC013,40.71458403535893,-74.04281705617905,Washington St & Laight St,5509.02,40.72231,-74.0106,1
Marin Light Rail,JC013,40.71458403535893,-74.04281705617905,W 33 St & 10 Ave,6492.04,40.75377336836039,-73.99937599897385,1
Marin Light Rail,JC013,40.71458403535893,-74.04281705617905,Union St,JC051,40.7182113,-74.0836394,1
Marin Light Rail,JC013,40.71458403535893,-74.04281705617905,Southwest Park - Jackson St & Observer Hwy,HB401,40.73755127245804,-74.04166370630264,1
Baldwin at Montgomery,JC020,40.7236589,-74.0641943,Union St,JC051,40.7182113,-74.0836394,1
Baldwin at Montgomery,JC020,40.7236589,-74.0641943,Stevens - River Ter & 6 St,HB602,40.74313282710551,-74.02698867022991,1
Baldwin at Montgomery,JC020,40.7236589,-74.0641943,Southwest Park - Jackson St & Observer Hwy,HB401,40.73755127245804,-74.04166370630264,1
Baldwin at Montgomery,JC020,40.7236589,-74.0641943,South Waterfront Walkway - Sinatra Dr & 1 St,HB103,40.73698221818716,-74.02778059244156,1
Baldwin at Montgomery,JC020,40.7236589,-74.0641943,Riverview Park,JC057,40.7443187,-74.0439909,1
